4200,1756,2074,1968,1134,1424,948,1614,1356,833,2397,1563,948
4300,1801,2178,1780,1054,1148,1046,1567,1474,927,2303,1674,940
4400,1929,2232,1850,1043,1420,975,1665,1473,940,2614,1771,947
4500,1960,2399,1958,1312,1328,1148,1687,1562,863,2664,1913,972
4600,2176,2196,1865,1250,1504,1260,1836,1688,951,2792,2156,937
4700,2063,2509,2061,1420,1764,1635,2170,1591,996,3490,2669,1274
4800,2241,2924,2139,1362,1235,1289,2620,2159,1062,3006,1912,1041
4900,2224,2339,2176,1160,1610,1197,1895,1705,937,3247,1985,1068
5000,2175,2555,2193,1252,1514,1256,1876,1813,1064,3247,2182,1046
5100,2043,2028,2088,1260,1467,1042,2089,1666,844,3180,2249,837
5200,2161,2639,2193,1613,1689,1185,2089,1839,937,3383,2200,1042
5300,2293,2758,2198,1634,1677,1368,2219,1730,834,3596,2469,1042
5400,2465,2663,2364,1493,1776,1370,2335,1939,1146,3675,2618,1044
5500,2429,2777,2521,1354,1821,1626,2482,1783,785,3878,2422,1271
5600,2404,2756,2528,1562,1869,1463,2491,2001,1202,3979,2582,1047
5700,2475,2878,2455,1518,1983,1507,2502,2122,1182,3970,2519,1150
5800,2258,2615,2346,1361,1677,1250,2522,1925,1136,3933,2818,833
5900,2515,2853,2717,1526,1774,1562,3382,2884,1322,5814,4310,1569
6000,2923,3020,2912,1849,2343,1937,3186,2151,1334,4429,3055,1187
6100,2680,3025,2729,1736,1707,1565,2720,2326,1200,4711,2977,1208
6200,2410,2877,2845,1670,2058,1612,2898,2316,1210,4797,2887,1306
6300,2867,3148,2710,1770,1987,1667,3035,2303,1146,4935,3280,1261
6400,2824,3339,2618,1508,2089,1681,3126,2246,1413,5006,3193,1413
6500,2722,3281,2873,1786,2231,1706,2378,2271,1482,3144,2345,1195
6600,2883,3746,2894,1816,2355,1672,2163,2379,1177,3208,2618,1424
6700,3007,3289,3186,1922,2300,1801,2364,2275,1149,3176,2486,1470
6800,3005,3353,3140,1883,2244,1832,2432,2275,1459,3344,2733,1337
6900,3026,3448,3050,1771,2391,1819,2473,2287,1564,3398,2721,1459
7000,3012,3658,3040,1934,2349,1729,3372,2534,1400,3569,2623,1501
7100,3159,3481,3139,1874,2256,1981,2296,2138,1475,3766,2837,1440
7200,3032,3768,3079,2068,2310,1948,2596,2441,1606,3747,3016,1698
7300,3368,3609,3131,2301,2403,1319,2292,2506,1434,3624,3039,1563
7400,3176,3991,3293,2044,2584,1879,2608,2517,1567,3932,2868,1566
7500,3150,4042,3449,2096,2653,1930,2719,2608,1572,3762,2929,1501
7600,3303,3863,3838,2011,2683,1807,2876,2565,1698,3834,3139,1669
7700,3449,3868,3441,2212,2598,1992,2790,2510,1687,4234,3027,1674
7800,3182,3810,3623,1873,2516,1958,2720,2543,1779,4327,3183,1666
7900,3346,4069,3461,2264,2531,2133,2974,2689,1664,4283,3341,1770
8000,3460,4773,5003,2698,3044,2723,3298,2738,1782,5997,3623,1564
8100,3553,4429,3711,2107,2527,1992,3081,2659,1890,4508,3446,1866
8200,3386,4030,3637,2178,2735,2086,3170,2793,1771,4653,3282,1899
8300,3543,4233,3723,2187,2863,2156,3102,2968,1708,4491,3748,1533
8400,3511,4555,4053,2116,2936,2322,3219,2923,1885,5012,3776,1678
8500,3577,4391,3595,2381,2793,2213,3272,3080,1913,5033,3659,1796
8600,3947,4625,3550,2308,2738,2353,4084,3708,2000,4948,3454,1983
